vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD2HMALVPADC04,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.44"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD2HMALVPSHP02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.52"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD2HMALVPBJS02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.54"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPPRP02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.56"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPRMS02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.60"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALPVSVC09,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.105"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPSQL02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.22"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD2HMALVPSQL04,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.24"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD2HMALVPSRS02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.140.26"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.140.1"", ""vlanID"": ""2932""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,2,,2
