vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD2HMALVPSFB01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.34"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD2HMALVPOWS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.37"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD2HMALVPADC01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.41"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD2HMALVPPRP01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""300"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.55"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD2HMALVPAWH05,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.65"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD2HMALVPAWH08,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.68"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD2HMALVPSLW02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.73"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD2HMALVPSCM01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""500"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.83"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
