vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD1HMALVPSFB03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.36"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD1HMALVPRCA01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.39"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD1HMALVPADC05,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.45"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD1HMALVPSNW01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.46"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD1HMALVPSHP01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.51"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD1HMALVPWFS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.62"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVPMIM01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.63"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVPTMS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""250"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.69"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPTMS02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""250"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.70"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,1,,2
DD1HMALVPVOL01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.71"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
