vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD1HMALVPSFB02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.35"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD1HMALVPOWS02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.38"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,2,,2
DD1HMALVPADC02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.42"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD1HMALVPAWH06,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.66"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPAWH07,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.67"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPSLW03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.74"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPKWS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""1000"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.75"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,1,,2
DD1HMALPPNBU05,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""300"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.82"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPWSU01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.84"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPSCC01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.85"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
