vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD1HMALVPADC03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.43"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD1HMALVPBJS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.53"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVPPSP02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.57"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVPRMS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.59"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVPSCO01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.86"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD1HMALPVSVC08,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.104"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPSQL01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.141.21"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.141.1"", ""vlanID"": ""2677""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD1HMALVPSQL03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""700"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.141.23"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.141.1"", ""vlanID"": ""2677""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,8,,2
DD1HMALVPSRS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.141.25"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.141.1"", ""vlanID"": ""2677""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,2,,2
