vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD1HMALVPSFB01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.34"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD1HMALVPOWS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.37"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPADC01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.41"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD1HMALVPPRP01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""300"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.55"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD1HMALVP2FA01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.58"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPEDO01,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""420"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.61"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD1HMALVPAWH05,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.65"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPAWH08,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.68"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
DD1HMALVPSLW02,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.73"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD1HMALVPSCM01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""500"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.83"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD1HMALPVSVC06,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""250"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC1_TSZ"", ""ipAddress"": ""10.244.133.102"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.244.133.1"", ""vlanID"": ""2669""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
