vmName,osFamily,osVersion,destPath,osVhd,dataDisks,ipConfig,dnsIp,memory,vCPU,machineOU,generation
DD2HMALVPSFB03,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.36"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",32,4,,2
DD2HMALVPADC05,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""100"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.45"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,8,,2
DD2HMALVPSNW01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""120"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.46"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD2HMALVPWFS01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.62"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPMIM01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.63"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,4,,2
DD2HMALVPVOL01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.71"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",8,2,,2
DD2HMALVPSLW01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""200"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.72"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD2HMALVPNBU01,windows,2016,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""300"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.78"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",16,4,,2
DD2HMALPVSVC06,windows,2012R2,G:\Hyper-V,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,"{""dataDisks"": [{""volumeLabel"": ""DATA"", ""size"": ""250"",""driveLetter"": ""D""}]}","{""ipConfig"":{""vSwitchName"": ""vSwitch_HDC2_TSZ"", ""ipAddress"": ""10.245.132.102"", ""subnetMask"": ""255.255.255.0"", ""defaultGateway"": ""10.245.132.1"", ""vlanID"": ""2924""}}","{""dnsIP"":[{""ip"":""10.244.133.33""},{""ip"": """"}]}",4,2,,2
