vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD1HMALVPADC03,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,16,10.244.133.43,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPBJS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.53,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPPSP02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.57,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPRMS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.59,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSCO01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.244.133.86,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPVSVC08,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.104,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPSQL01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.141.21,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
DD1HMALVPSQL03,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.141.23,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
DD1HMALVPSRS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,32,10.244.141.25,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
