vmName,vSwitchName,osVHD,dataVHDSize,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD2HMALVPADC04,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,100,G:\Hyper-V,8,16,10.245.132.44,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSHP02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,8,32,10.245.132.52,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPBJS02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,4,8,10.245.132.54,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPPRP02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,4,8,10.245.132.56,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPRMS02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,100,G:\Hyper-V,4,8,10.245.132.60,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALPVSVC04,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,100,G:\Hyper-V,2,8,10.245.132.100,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALPVSVC09,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,100,G:\Hyper-V,4,8,10.245.132.105,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPSQL02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,700,G:\Hyper-V,8,32,10.245.140.22,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
DD2HMALVPSQL04,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,700,G:\Hyper-V,8,32,10.245.140.24,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
DD2HMALVPSRS02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,200,G:\Hyper-V,2,32,10.245.140.26,255.255.255.0,10.245.140.1,2016,10.244.133.33,,2932
,,,,,,,,,,,,,
