vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD2HMALVPSFB01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.245.132.34,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPOWS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.37,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPADC01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,16,10.245.132.41,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPPRP01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,8,10.245.132.55,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPAWH05,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.65,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPAWH08,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.68,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALVPSLW02,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.73,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSCM01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.245.132.83,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
