vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD1HMALVPSFB02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.244.133.35,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPOWS02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,16,10.244.133.38,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPADC02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,16,10.244.133.42,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPAWH06,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.66,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPAWH07,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.67,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPSLW03,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.74,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPKWS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,1,4,10.244.133.75,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPPNBU05,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.82,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPWSU01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.84,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSCC01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,32,10.244.133.85,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPVSVC07,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.103,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
