vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD1HMALVPADC05,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,16,10.244.133.45,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSNW01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.46,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSHP01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.133.51,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPWFS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.62,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPMIM01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.63,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPTMS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.69,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPTMS02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,1,4,10.244.133.70,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPVOL01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.71,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSLW01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.72,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPNBU01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.78,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPVSVC05,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\WIN2012R2_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.101,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
