vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD1HMALVPADC04,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,16,10.244.133.44,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSHP02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.133.52,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPBJS02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.54,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPPRP03,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.56,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPRMS02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.60,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPVSVC04,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.100,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPSQL02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.141.22,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
DD1HMALVPSQL04,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,32,10.244.141.24,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
DD1HMALVPSRS02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,2,32,10.244.141.26,255.255.255.0,10.244.141.1,2016,10.244.133.33,,2677
