vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD2HMALVPSFB03,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,32,10.245.132.36,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPADC05,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,16,10.245.132.45,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSNW01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,2,8,10.245.132.46,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPWFS01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,8,10.245.132.62,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPMIM01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,8,10.245.132.63,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPVOL01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,2,8,10.245.132.71,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPSLW01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.72,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALVPNBU01,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,16,10.245.132.78,255.255.255.0,10.245.132.1,2016,10.244.133.33,,2924
DD2HMALPVSVC05,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,8,10.245.132.101,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
DD2HMALPVSVC06,vSwitch_HDC2_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.245.132.102,255.255.255.0,10.245.132.1,2012R2,10.244.133.33,,2924
