vmName,vSwitchName,osVHD,destPath,vCPU,memory,vmIP,vmSubnetMask,gateway,osVersion,dnsIP1,dnsIP2,vlanID
DD1HMALVPSFB01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,32,10.244.133.34,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPOWS01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.37,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPADC01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,8,16,10.244.133.41,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPPRP01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,8,10.244.133.55,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVP2FA01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.58,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPEDO01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,8,10.244.133.61,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPAWH05,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.65,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPAWH08,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.68,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
DD1HMALVPSLW02,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,16,10.244.133.73,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALVPSCM01,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2016_Golden.vhdx,G:\Hyper-V,4,32,10.244.133.83,255.255.255.0,10.244.133.1,2016,10.244.133.33,,2669
DD1HMALPVSVC06,vSwitch_HDC1_TSZ,G:\Hyper-V\VHDX\Windows2012R2_Golden.vhdx,G:\Hyper-V,2,4,10.244.133.102,255.255.255.0,10.244.133.1,2012R2,10.244.133.33,,2669
